//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
÷             ÷             ÷             &#247;          &#x00F7;        &divide;        divide          division sign, U+00F7 ISOnum
ø             ø             ø             &#248;          &#x00F8;        &oslash;        oslash          latin small letter o with stroke, = latin small letter o slash, U+00F8 ISOlat1
ù             ù             ù             &#249;          &#x00F9;        &ugrave;        ugrave          latin small letter u with grave, U+00F9 ISOlat1
ú             ú             ú             &#250;          &#x00FA;        &uacute;        uacute          latin small letter u with acute, U+00FA ISOlat1
û             û             û             &#251;          &#x00FB;        &ucirc;         ucircumflex     latin small letter u with circumflex, U+00FB ISOlat1
ü             ü             ü             &#252;          &#x00FC;        &uuml;          udieresis       latin small letter u with diaeresis, U+00FC ISOlat1
ý             ý             ý             &#253;          &#x00FD;        &yacute;        yacute          latin small letter y with acute, U+00FD ISOlat1
þ             þ             þ             &#254;          &#x00FE;        &thorn;         thorn           latin small letter thorn, U+00FE ISOlat1
ÿ             ÿ             ÿ             &#255;          &#x00FF;        &yuml;          ydieresis       latin small letter y with diaeresis, U+00FF ISOlat1
ƒ             ƒ             ƒ             &#402;          &#x0192;        &fnof;          florin          latin small f with hook = function = florin, U+0192 ISOtech
Α             Α             Α             &#913;          &#x0391;        &Alpha;         Alpha           greek capital letter alpha, U+0391
Β             Β             Β             &#914;          &#x0392;        &Beta;          Beta            greek capital letter beta, U+0392
Γ             Γ             Γ             &#915;          &#x0393;        &Gamma;         Gamma           greek capital letter gamma, U+0393 ISOgrk3
Δ             Δ             Δ             &#916;          &#x0394;        &Delta;         Deltagreek      greek capital letter delta, U+0394 ISOgrk3
Ε             Ε             Ε             &#917;          &#x0395;        &Epsilon;       Epsilon         greek capital letter epsilon, U+0395
Ζ             Ζ             Ζ             &#918;          &#x0396;        &Zeta;          Zeta            greek capital letter zeta, U+0396
Η             Η             Η             &#919;          &#x0397;        &Eta;           Eta             greek capital letter eta, U+0397
Θ             Θ             Θ             &#920;          &#x0398;        &Theta;         Theta           greek capital letter theta, U+0398 ISOgrk3
Ι             Ι             Ι             &#921;          &#x0399;        &Iota;          Iota            greek capital letter iota, U+0399
Κ             Κ             Κ             &#922;          &#x039A;        &Kappa;         Kappa           greek capital letter kappa, U+039A
Λ             Λ             Λ             &#923;          &#x039B;        &Lambda;        Lambda          greek capital letter lambda, U+039B ISOgrk3
