//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
״            ״                            &#1524;         &#x05F4;                        gershayimhebrew 
//FIN-FIN-FIN
،              ،                              &#1548;         &#x060C;                        afii57388
commaarabic     
؛              ؛                              &#1563;         &#x061B;                        afii57403
semicolonarabic 
؟              ؟                              &#1567;         &#x061F;                        afii57407
questionarabic  
ء              ء                              &#1569;         &#x0621;                        afii57409
hamzaarabic
hamzalowarabic
hamzafathatanarabic
hamzadammatanarabic
hamzalowkasratanarabic
hamzafathaarabic
hamzadammaarabic
hamzalowkasraarabic
hamzasukunarabic                
آ              آ                              &#1570;         &#x0622;                        afii57410
alefmaddaabovearabic            
أ              أ                              &#1571;         &#x0623;                        afii57411
alefhamzaabovearabic            
ؤ              ؤ                              &#1572;         &#x0624;                        afii57412
wawhamzaabovearabic             
إ              إ                              &#1573;         &#x0625;                        afii57413
alefhamzabelowarabic            
ئ              ئ                              &#1574;         &#x0626;                        afii57414
yehhamzaabovearabic             
ا              ا                              &#1575;         &#x0627;                        afii57415
alefarabic      
ب              ب                              &#1576;         &#x0628;                        afii57416
beharabic       
ة              ة                              &#1577;         &#x0629;                        afii57417
tehmarbutaarabic                
ت              ت                              &#1578;         &#x062A;                        afii57418
teharabic       
ث              ث                              &#1579;         &#x062B;                        afii57419
theharabic      
ج              ج                              &#1580;         &#x062C;                        afii57420
jeemarabic      
ح              ح                              &#1581;         &#x062D;                        afii57421
haharabic       
خ              خ                              &#1582;         &#x062E;                        afii57422
khaharabic      
د              د                              &#1583;         &#x062F;                        afii57423
dalarabic       
ذ              ذ                              &#1584;         &#x0630;                        afii57424
thalarabic      
ر              ر                              &#1585;         &#x0631;                        afii57425
reharabic
rehyehaleflamarabic             
ز              ز                              &#1586;         &#x0632;                        afii57426
zainarabic      
س              س                              &#1587;         &#x0633;                        afii57427
seenarabic      
ش              ش                              &#1588;         &#x0634;                        afii57428
sheenarabic     
ص              ص                              &#1589;         &#x0635;                        afii57429
sadarabic       
ض              ض                              &#1590;         &#x0636;                        afii57430
dadarabic       
ط              ط                              &#1591;         &#x0637;                        afii57431
taharabic       
ظ              ظ                              &#1592;         &#x0638;                        afii57432
zaharabic       
ع              ع                              &#1593;         &#x0639;                        afii57433
ainarabic       
غ              غ                              &#1594;         &#x063A;                        afii57434
ghainarabic     
ـ              ـ                              &#1600;         &#x0640;                        afii57440
kashidaautoarabic
kashidaautonosidebearingarabic
tatweelarabic   
ف              ف                              &#1601;         &#x0641;                        afii57441
feharabic       
ق              ق                              &#1602;         &#x0642;                        afii57442
qafarabic       
ك              ك                              &#1603;         &#x0643;                        afii57443
kafarabic       
ل              ل                              &#1604;         &#x0644;                        afii57444
lamarabic       
م              م                              &#1605;         &#x0645;                        afii57445
meemarabic      
ن              ن                              &#1606;         &#x0646;                        afii57446
noonarabic      
ه              ه                              &#1607;         &#x0647;                        afii57470
heharabic       
و              و                              &#1608;         &#x0648;                        afii57448
wawarabic       
ى              ى                              &#1609;         &#x0649;                        afii57449
alefmaksuraarabic               
ي              ي                              &#1610;         &#x064A;                        afii57450
yeharabic       
ً              ً                              &#1611;         &#x064B;                        afii57451
fathatanarabic  
ٌ              ٌ                              &#1612;         &#x064C;                        afii57452
dammatanaltonearabic
dammatanarabic  
ٍ              ٍ                              &#1613;         &#x064D;                        afii57453
kasratanarabic  
َ              َ                              &#1614;         &#x064E;                        afii57454
fathaarabic
fathalowarabic  
ُ              ُ                              &#1615;         &#x064F;                        afii57455
dammaarabic
dammalowarabic  
ِ              ِ                              &#1616;         &#x0650;                        afii57456
kasraarabic     
ّ              ّ                              &#1617;         &#x0651;                        afii57457
shaddaarabic
shaddafathatanarabic            
ْ              ْ                              &#1618;         &#x0652;                        afii57458
sukunarabic     
٠              ٠                              &#1632;         &#x0660;                        afii57392
zeroarabic
zerohackarabic  
١              ١                              &#1633;         &#x0661;                        afii57393
onearabic
onehackarabic   
٢              ٢                              &#1634;         &#x0662;                        afii57394
twoarabic
twohackarabic   
٣              ٣                              &#1635;         &#x0663;                        afii57395
threearabic
threehackarabic 
٤              ٤                              &#1636;         &#x0664;                        afii57396
fourarabic
fourhackarabic  
٥              ٥                              &#1637;         &#x0665;                        afii57397
fivearabic
fivehackarabic  
٦              ٦                              &#1638;         &#x0666;                        afii57398
sixarabic
sixhackarabic   
٧              ٧                              &#1639;         &#x0667;                        afii57399
sevenarabic
sevenhackarabic 
٨              ٨                              &#1640;         &#x0668;                        afii57400
eightarabic
eighthackarabic 
٩              ٩                              &#1641;         &#x0669;                        afii57401
ninearabic
ninehackarabic  
٪              ٪                              &#1642;         &#x066A;                        afii57381
percentarabic   
٫              ٫                              &#1643;         &#x066B;                        decimalseparatorarabic
decimalseparatorpersian         
٬              ٬                              &#1644;         &#x066C;                        thousandsseparatorarabic
thousandsseparatorpersian       
٭              ٭                              &#1645;         &#x066D;                        afii63167
asteriskaltonearabic
asteriskarabic  
ٹ              ٹ                              &#1657;         &#x0679;                        afii57511
tteharabic      
پ              پ                              &#1662;         &#x067E;                        afii57506
peharabic       
چ              چ                              &#1670;         &#x0686;                        afii57507
tcheharabic     
ڈ              ڈ                              &#1672;         &#x0688;                        afii57512
ddalarabic      
ڑ              ڑ                              &#1681;         &#x0691;                        afii57513
rreharabic      
ژ              ژ                              &#1688;         &#x0698;                        afii57508
jeharabic       
ڤ              ڤ                              &#1700;         &#x06A4;                        afii57505
veharabic       
گ              گ                              &#1711;         &#x06AF;                        afii57509
gafarabic       
ں              ں                              &#1722;         &#x06BA;                        afii57514
noonghunnaarabic                
ہ              ہ                              &#1729;         &#x06C1;                        haaltonearabic
hehaltonearabic 
ۑ              ۑ                              &#1745;         &#x06D1;                        yehthreedotsbelowarabic         
ے              ے                              &#1746;         &#x06D2;                        afii57519
yehbarreearabic 
ە              ە                              &#1749;         &#x06D5;                        afii57534       
۰              ۰                              &#1776;         &#x06F0;                        zeropersian     
۱              ۱                              &#1777;         &#x06F1;                        onepersian      
۲              ۲                              &#1778;         &#x06F2;                        twopersian      
۳              ۳                              &#1779;         &#x06F3;                        threepersian    
۴              ۴                              &#1780;         &#x06F4;                        fourpersian     
۵              ۵                              &#1781;         &#x06F5;                        fivepersian     
۶              ۶                              &#1782;         &#x06F6;                        sixpersian      
۷              ۷                              &#1783;         &#x06F7;                        sevenpersian    
۸              ۸                              &#1784;         &#x06F8;                        eightpersian    
۹              ۹                              &#1785;         &#x06F9;                        ninepersian     
ँ             ँ                             &#2305;         &#x0901;                        candrabindudeva 
ं             ं                             &#2306;         &#x0902;                        anusvaradeva    
ः             ः                             &#2307;         &#x0903;                        visargadeva     
अ             अ                             &#2309;         &#x0905;                        adeva           
आ             आ                             &#2310;         &#x0906;                        aadeva          
इ             इ                             &#2311;         &#x0907;                        ideva           
ई             ई                             &#2312;         &#x0908;                        iideva          
उ             उ                             &#2313;         &#x0909;                        udeva           
ऊ             ऊ                             &#2314;         &#x090A;                        uudeva          
ऋ             ऋ                             &#2315;         &#x090B;                        rvocalicdeva    
ऌ             ऌ                             &#2316;         &#x090C;                        lvocalicdeva    
ऍ             ऍ                             &#2317;         &#x090D;                        ecandradeva     
ऎ             ऎ                             &#2318;         &#x090E;                        eshortdeva      
ए             ए                             &#2319;         &#x090F;                        edeva           
ऐ             ऐ                             &#2320;         &#x0910;                        aideva          
ऑ             ऑ                             &#2321;         &#x0911;                        ocandradeva     
ऒ             ऒ                             &#2322;         &#x0912;                        oshortdeva      
ओ             ओ                             &#2323;         &#x0913;                        odeva           
औ             औ                             &#2324;         &#x0914;                        audeva          
क             क                             &#2325;         &#x0915;                        kadeva          
ख             ख                             &#2326;         &#x0916;                        khadeva         
ग             ग                             &#2327;         &#x0917;                        gadeva          
घ             घ                             &#2328;         &#x0918;                        ghadeva         
ङ             ङ                             &#2329;         &#x0919;                        ngadeva         
च             च                             &#2330;         &#x091A;                        cadeva          
छ             छ                             &#2331;         &#x091B;                        chadeva         
ज             ज                             &#2332;         &#x091C;                        jadeva          
झ             झ                             &#2333;         &#x091D;                        jhadeva         
ञ             ञ                             &#2334;         &#x091E;                        nyadeva         
ट             ट                             &#2335;         &#x091F;                        ttadeva         
ठ             ठ                             &#2336;         &#x0920;                        tthadeva        
ड             ड                             &#2337;         &#x0921;                        ddadeva         
ढ             ढ                             &#2338;         &#x0922;                        ddhadeva        
ण             ण                             &#2339;         &#x0923;                        nnadeva         
त             त                             &#2340;         &#x0924;                        tadeva          
थ             थ                             &#2341;         &#x0925;                        thadeva         
द             द                             &#2342;         &#x0926;                        dadeva          
ध             ध                             &#2343;         &#x0927;                        dhadeva         
न             न                             &#2344;         &#x0928;                        nadeva          
ऩ             ऩ                             &#2345;         &#x0929;                        nnnadeva        
प             प                             &#2346;         &#x092A;                        padeva          
फ             फ                             &#2347;         &#x092B;                        phadeva         
ब             ब                             &#2348;         &#x092C;                        badeva          
भ             भ                             &#2349;         &#x092D;                        bhadeva         
म             म                             &#2350;         &#x092E;                        madeva          
य             य                             &#2351;         &#x092F;                        yadeva          
र             र                             &#2352;         &#x0930;                        radeva          
ऱ             ऱ                             &#2353;         &#x0931;                        rradeva         
ल             ल                             &#2354;         &#x0932;                        ladeva          
ळ             ळ                             &#2355;         &#x0933;                        lladeva         
ऴ             ऴ                             &#2356;         &#x0934;                        llladeva        
व             व                             &#2357;         &#x0935;                        vadeva          
श             श                             &#2358;         &#x0936;                        shadeva         
ष             ष                             &#2359;         &#x0937;                        ssadeva         
स             स                             &#2360;         &#x0938;                        sadeva          
ह             ह                             &#2361;         &#x0939;                        hadeva          
़             ़                             &#2364;         &#x093C;                        nuktadeva       
ऽ             ऽ                             &#2365;         &#x093D;                        avagrahadeva    
ा             ा                             &#2366;         &#x093E;                        aavowelsigndeva 
ि             ि                             &#2367;         &#x093F;                        ivowelsigndeva  
ी             ी                             &#2368;         &#x0940;                        iivowelsigndeva 
ु             ु                             &#2369;         &#x0941;                        uvowelsigndeva  
ू             ू                             &#2370;         &#x0942;                        uuvowelsigndeva 
ृ             ृ                             &#2371;         &#x0943;                        rvocalicvowelsigndeva           
ॄ             ॄ                             &#2372;         &#x0944;                        rrvocalicvowelsigndeva          
ॅ             ॅ                             &#2373;         &#x0945;                        ecandravowelsigndeva            
ॆ             ॆ                             &#2374;         &#x0946;                        eshortvowelsigndeva             
े             े                             &#2375;         &#x0947;                        evowelsigndeva  
ै             ै                             &#2376;         &#x0948;                        aivowelsigndeva 
ॉ             ॉ                             &#2377;         &#x0949;                        ocandravowelsigndeva            
ॊ             ॊ                             &#2378;         &#x094A;                        oshortvowelsigndeva             
ो             ो                             &#2379;         &#x094B;                        ovowelsigndeva  
ौ             ौ                             &#2380;         &#x094C;                        auvowelsigndeva 
्             ्                             &#2381;         &#x094D;                        viramadeva      
ॐ             ॐ                             &#2384;         &#x0950;                        omdeva          
॑             ॑                             &#2385;         &#x0951;                        udattadeva      
॒             ॒                             &#2386;         &#x0952;                        anudattadeva    
॓             ॓                             &#2387;         &#x0953;                        gravedeva       
॔             ॔                             &#2388;         &#x0954;                        acutedeva       
क़             क़                             &#2392;         &#x0958;                        qadeva          
ख़             ख़                             &#2393;         &#x0959;                        khhadeva        
ग़             ग़                             &#2394;         &#x095A;                        ghhadeva        
ज़             ज़                             &#2395;         &#x095B;                        zadeva          
ड़             ड़                             &#2396;         &#x095C;                        dddhadeva       
ढ़             ढ़                             &#2397;         &#x095D;                        rhadeva         
फ़             फ़                             &#2398;         &#x095E;                        fadeva          
य़             य़                             &#2399;         &#x095F;                        yyadeva         
ॠ             ॠ                             &#2400;         &#x0960;                        rrvocalicdeva   
ॡ             ॡ                             &#2401;         &#x0961;                        llvocalicdeva   
ॢ             ॢ                             &#2402;         &#x0962;                        lvocalicvowelsigndeva           
ॣ             ॣ                             &#2403;         &#x0963;                        llvocalicvowelsigndeva          
।             ।                             &#2404;         &#x0964;                        danda           
॥             ॥                             &#2405;         &#x0965;                        dbldanda        
०             ०                             &#2406;         &#x0966;                        zerodeva        
१             १                             &#2407;         &#x0967;                        onedeva         
२             २                             &#2408;         &#x0968;                        twodeva         
३             ३                             &#2409;         &#x0969;                        threedeva       
४             ४                             &#2410;         &#x096A;                        fourdeva        
५             ५                             &#2411;         &#x096B;                        fivedeva        
६             ६                             &#2412;         &#x096C;                        sixdeva         
७             ७                             &#2413;         &#x096D;                        sevendeva       
८             ८                             &#2414;         &#x096E;                        eightdeva       
९             ९                             &#2415;         &#x096F;                        ninedeva        
॰             ॰                             &#2416;         &#x0970;                        abbreviationsigndeva            
ঁ             ঁ                             &#2433;         &#x0981;                        candrabindubengali              
ং             ং                             &#2434;         &#x0982;                        anusvarabengali 
ঃ             ঃ                             &#2435;         &#x0983;                        visargabengali  
অ             অ                             &#2437;         &#x0985;                        abengali        
আ             আ                             &#2438;         &#x0986;                        aabengali       
ই             ই                             &#2439;         &#x0987;                        ibengali        
ঈ             ঈ                             &#2440;         &#x0988;                        iibengali       
উ             উ                             &#2441;         &#x0989;                        ubengali        
ঊ             ঊ                             &#2442;         &#x098A;                        uubengali       
ঋ             ঋ                             &#2443;         &#x098B;                        rvocalicbengali 
ঌ             ঌ                             &#2444;         &#x098C;                        lvocalicbengali 
এ             এ                             &#2447;         &#x098F;                        ebengali        
ঐ             ঐ                             &#2448;         &#x0990;                        aibengali       
ও             ও                             &#2451;         &#x0993;                        obengali        
ঔ             ঔ                             &#2452;         &#x0994;                        aubengali       
ক             ক                             &#2453;         &#x0995;                        kabengali       
খ             খ                             &#2454;         &#x0996;                        khabengali      
গ             গ                             &#2455;         &#x0997;                        gabengali       
ঘ             ঘ                             &#2456;         &#x0998;                        ghabengali      
ঙ             ঙ                             &#2457;         &#x0999;                        ngabengali      
চ             চ                             &#2458;         &#x099A;                        cabengali       
ছ             ছ                             &#2459;         &#x099B;                        chabengali      
জ             জ                             &#2460;         &#x099C;                        jabengali       
ঝ             ঝ                             &#2461;         &#x099D;                        jhabengali      
ঞ             ঞ                             &#2462;         &#x099E;                        nyabengali      
ট             ট                             &#2463;         &#x099F;                        ttabengali      
ঠ             ঠ                             &#2464;         &#x09A0;                        tthabengali     
ড             ড                             &#2465;         &#x09A1;                        ddabengali      
ঢ             ঢ                             &#2466;         &#x09A2;                        ddhabengali     
ণ             ণ                             &#2467;         &#x09A3;                        nnabengali      
ত             ত                             &#2468;         &#x09A4;                        tabengali       
থ             থ                             &#2469;         &#x09A5;                        thabengali      
দ             দ                             &#2470;         &#x09A6;                        dabengali       
ধ             ধ                             &#2471;         &#x09A7;                        dhabengali      
ন             ন                             &#2472;         &#x09A8;                        nabengali       
প             প                             &#2474;         &#x09AA;                        pabengali       
ফ             ফ                             &#2475;         &#x09AB;                        phabengali      
ব             ব                             &#2476;         &#x09AC;                        babengali       
ভ             ভ                             &#2477;         &#x09AD;                        bhabengali      
ম             ম                             &#2478;         &#x09AE;                        mabengali       
য             য                             &#2479;         &#x09AF;                        yabengali       
র             র                             &#2480;         &#x09B0;                        rabengali       
ল             ল                             &#2482;         &#x09B2;                        labengali       
শ             শ                             &#2486;         &#x09B6;                        shabengali      
ষ             ষ                             &#2487;         &#x09B7;                        ssabengali      
স             স                             &#2488;         &#x09B8;                        sabengali       
হ             হ                             &#2489;         &#x09B9;                        habengali       
়             ়                             &#2492;         &#x09BC;                        nuktabengali    
া             া                             &#2494;         &#x09BE;                        aavowelsignbengali              
ি             ি                             &#2495;         &#x09BF;                        ivowelsignbengali               
ী             ী                             &#2496;         &#x09C0;                        iivowelsignbengali              
ু             ু                             &#2497;         &#x09C1;                        uvowelsignbengali               
ূ             ূ                             &#2498;         &#x09C2;                        uuvowelsignbengali              
ৃ             ৃ                             &#2499;         &#x09C3;                        rvocalicvowelsignbengali        
ৄ             ৄ                             &#2500;         &#x09C4;                        rrvocalicvowelsignbengali       
ে             ে                             &#2503;         &#x09C7;                        evowelsignbengali               
ৈ             ৈ                             &#2504;         &#x09C8;                        aivowelsignbengali              
ো             ো                             &#2507;         &#x09CB;                        ovowelsignbengali               
ৌ             ৌ                             &#2508;         &#x09CC;                        auvowelsignbengali              
্             ্                             &#2509;         &#x09CD;                        viramabengali   
ৗ             ৗ                             &#2519;         &#x09D7;                        aulengthmarkbengali             
ড়             ড়                             &#2524;         &#x09DC;                        rrabengali      
ঢ়             ঢ়                             &#2525;         &#x09DD;                        rhabengali      
য়             য়                             &#2527;         &#x09DF;                        yyabengali      
ৠ             ৠ                             &#2528;         &#x09E0;                        rrvocalicbengali                
ৡ             ৡ                             &#2529;         &#x09E1;                        llvocalicbengali                
ৢ             ৢ                             &#2530;         &#x09E2;                        lvocalicvowelsignbengali        
ৣ             ৣ                             &#2531;         &#x09E3;                        llvocalicvowelsignbengali       
০             ০                             &#2534;         &#x09E6;                        zerobengali     
১             ১                             &#2535;         &#x09E7;                        onebengali      
২             ২                             &#2536;         &#x09E8;                        twobengali      
৩             ৩                             &#2537;         &#x09E9;                        threebengali    
৪             ৪                             &#2538;         &#x09EA;                        fourbengali     
৫             ৫                             &#2539;         &#x09EB;                        fivebengali     
৬             ৬                             &#2540;         &#x09EC;                        sixbengali      
৭             ৭                             &#2541;         &#x09ED;                        sevenbengali    
৮             ৮                             &#2542;         &#x09EE;                        eightbengali    
৯             ৯                             &#2543;         &#x09EF;                        ninebengali     
ৰ             ৰ                             &#2544;         &#x09F0;                        ramiddlediagonalbengali         
ৱ             ৱ                             &#2545;         &#x09F1;                        ralowerdiagonalbengali          
৲             ৲                             &#2546;         &#x09F2;                        rupeemarkbengali                
৳             ৳                             &#2547;         &#x09F3;                        rupeesignbengali                
৴             ৴                             &#2548;         &#x09F4;                        onenumeratorbengali             
৵             ৵                             &#2549;         &#x09F5;                        twonumeratorbengali             
৶             ৶                             &#2550;         &#x09F6;                        threenumeratorbengali           
৷             ৷                             &#2551;         &#x09F7;                        fournumeratorbengali            
৸             ৸                             &#2552;         &#x09F8;                        denominatorminusonenumeratorbengali             
৹             ৹                             &#2553;         &#x09F9;                        sixteencurrencydenominatorbengali               
৺             ৺                             &#2554;         &#x09FA;                        issharbengali   
ਂ             ਂ                             &#2562;         &#x0A02;                        bindigurmukhi   
ਅ             ਅ                             &#2565;         &#x0A05;                        agurmukhi       
ਆ             ਆ                             &#2566;         &#x0A06;                        aagurmukhi      
ਇ             ਇ                             &#2567;         &#x0A07;                        igurmukhi       
ਈ             ਈ                             &#2568;         &#x0A08;                        iigurmukhi      
ਉ             ਉ                             &#2569;         &#x0A09;                        ugurmukhi       
ਊ             ਊ                             &#2570;         &#x0A0A;                        uugurmukhi      
ਏ             ਏ                             &#2575;         &#x0A0F;                        eegurmukhi      
ਐ             ਐ                             &#2576;         &#x0A10;                        aigurmukhi      
ਓ             ਓ                             &#2579;         &#x0A13;                        oogurmukhi      
ਔ             ਔ                             &#2580;         &#x0A14;                        augurmukhi      
ਕ             ਕ                             &#2581;         &#x0A15;                        kagurmukhi      
ਖ             ਖ                             &#2582;         &#x0A16;                        khagurmukhi     
ਗ             ਗ                             &#2583;         &#x0A17;                        gagurmukhi      
ਘ             ਘ                             &#2584;         &#x0A18;                        ghagurmukhi     
ਙ             ਙ                             &#2585;         &#x0A19;                        ngagurmukhi     
ਚ             ਚ                             &#2586;         &#x0A1A;                        cagurmukhi      
ਛ             ਛ                             &#2587;         &#x0A1B;                        chagurmukhi     
ਜ             ਜ                             &#2588;         &#x0A1C;                        jagurmukhi      
ਝ             ਝ                             &#2589;         &#x0A1D;                        jhagurmukhi     
ਞ             ਞ                             &#2590;         &#x0A1E;                        nyagurmukhi     
ਟ             ਟ                             &#2591;         &#x0A1F;                        ttagurmukhi     
ਠ             ਠ                             &#2592;         &#x0A20;                        tthagurmukhi    
ਡ             ਡ                             &#2593;         &#x0A21;                        ddagurmukhi     
ਢ             ਢ                             &#2594;         &#x0A22;                        ddhagurmukhi    
ਣ             ਣ                             &#2595;         &#x0A23;                        nnagurmukhi     
ਤ             ਤ                             &#2596;         &#x0A24;                        tagurmukhi      
ਥ             ਥ                             &#2597;         &#x0A25;                        thagurmukhi     
ਦ             ਦ                             &#2598;         &#x0A26;                        dagurmukhi      
ਧ             ਧ                             &#2599;         &#x0A27;                        dhagurmukhi     
ਨ             ਨ                             &#2600;         &#x0A28;                        nagurmukhi      
ਪ             ਪ                             &#2602;         &#x0A2A;                        pagurmukhi      
ਫ             ਫ                             &#2603;         &#x0A2B;                        phagurmukhi     
ਬ             ਬ                             &#2604;         &#x0A2C;                        bagurmukhi      
ਭ             ਭ                             &#2605;         &#x0A2D;                        bhagurmukhi     
ਮ             ਮ                             &#2606;         &#x0A2E;                        magurmukhi      
ਯ             ਯ                             &#2607;         &#x0A2F;                        yagurmukhi      
ਰ             ਰ                             &#2608;         &#x0A30;                        ragurmukhi      
ਲ             ਲ                             &#2610;         &#x0A32;                        lagurmukhi      
ਵ             ਵ                             &#2613;         &#x0A35;                        vagurmukhi      
ਸ਼             ਸ਼                             &#2614;         &#x0A36;                        shagurmukhi     
ਸ             ਸ                             &#2616;         &#x0A38;                        sagurmukhi      
ਹ             ਹ                             &#2617;         &#x0A39;                        hagurmukhi      
਼             ਼                             &#2620;         &#x0A3C;                        nuktagurmukhi   
ਾ             ਾ                             &#2622;         &#x0A3E;                        aamatragurmukhi 
ਿ             ਿ                             &#2623;         &#x0A3F;                        imatragurmukhi  
ੀ             ੀ                             &#2624;         &#x0A40;                        iimatragurmukhi 
ੁ             ੁ                             &#2625;         &#x0A41;                        umatragurmukhi  
ੂ             ੂ                             &#2626;         &#x0A42;                        uumatragurmukhi 
ੇ             ੇ                             &#2631;         &#x0A47;                        eematragurmukhi 
ੈ             ੈ                             &#2632;         &#x0A48;                        aimatragurmukhi 
ੋ             ੋ                             &#2635;         &#x0A4B;                        oomatragurmukhi 
ੌ             ੌ                             &#2636;         &#x0A4C;                        aumatragurmukhi 
੍             ੍                             &#2637;         &#x0A4D;                        halantgurmukhi  
ਖ਼             ਖ਼                             &#2649;         &#x0A59;                        khhagurmukhi    
ਗ਼             ਗ਼                             &#2650;         &#x0A5A;                        ghhagurmukhi    
ਜ਼             ਜ਼                             &#2651;         &#x0A5B;                        zagurmukhi      
ੜ             ੜ                             &#2652;         &#x0A5C;                        rragurmukhi     
ਫ਼             ਫ਼                             &#2654;         &#x0A5E;                        fagurmukhi      
੦             ੦                             &#2662;         &#x0A66;                        zerogurmukhi    
੧             ੧                             &#2663;         &#x0A67;                        onegurmukhi     
੨             ੨                             &#2664;         &#x0A68;                        twogurmukhi     
੩             ੩                             &#2665;         &#x0A69;                        threegurmukhi   
੪             ੪                             &#2666;         &#x0A6A;                        fourgurmukhi    
੫             ੫                             &#2667;         &#x0A6B;                        fivegurmukhi    
੬             ੬                             &#2668;         &#x0A6C;                        sixgurmukhi     
੭             ੭                             &#2669;         &#x0A6D;                        sevengurmukhi   
੮             ੮                             &#2670;         &#x0A6E;                        eightgurmukhi   
੯             ੯                             &#2671;         &#x0A6F;                        ninegurmukhi    
ੰ             ੰ                             &#2672;         &#x0A70;                        tippigurmukhi   
ੱ             ੱ                             &#2673;         &#x0A71;                        addakgurmukhi   
ੲ             ੲ                             &#2674;         &#x0A72;                        irigurmukhi     
ੳ             ੳ                             &#2675;         &#x0A73;                        uragurmukhi     
ੴ             ੴ                             &#2676;         &#x0A74;                        ekonkargurmukhi 
ઁ             ઁ                             &#2689;         &#x0A81;                        candrabindugujarati             
ં             ં                             &#2690;         &#x0A82;                        anusvaragujarati                
ઃ             ઃ                             &#2691;         &#x0A83;                        visargagujarati 
અ             અ                             &#2693;         &#x0A85;                        agujarati       
આ             આ                             &#2694;         &#x0A86;                        aagujarati      
ઇ             ઇ                             &#2695;         &#x0A87;                        igujarati       
ઈ             ઈ                             &#2696;         &#x0A88;                        iigujarati      
ઉ             ઉ                             &#2697;         &#x0A89;                        ugujarati       
ઊ             ઊ                             &#2698;         &#x0A8A;                        uugujarati      
ઋ             ઋ                             &#2699;         &#x0A8B;                        rvocalicgujarati                
ઍ             ઍ                             &#2701;         &#x0A8D;                        ecandragujarati 
એ             એ                             &#2703;         &#x0A8F;                        egujarati       
ઐ             ઐ                             &#2704;         &#x0A90;                        aigujarati      
ઑ             ઑ                             &#2705;         &#x0A91;                        ocandragujarati 
ઓ             ઓ                             &#2707;         &#x0A93;                        ogujarati       
ઔ             ઔ                             &#2708;         &#x0A94;                        augujarati      
ક             ક                             &#2709;         &#x0A95;                        kagujarati      
ખ             ખ                             &#2710;         &#x0A96;                        khagujarati     
ગ             ગ                             &#2711;         &#x0A97;                        gagujarati      
ઘ             ઘ                             &#2712;         &#x0A98;                        ghagujarati     
ઙ             ઙ                             &#2713;         &#x0A99;                        ngagujarati     
ચ             ચ                             &#2714;         &#x0A9A;                        cagujarati      
છ             છ                             &#2715;         &#x0A9B;                        chagujarati     
જ             જ                             &#2716;         &#x0A9C;                        jagujarati      
ઝ             ઝ                             &#2717;         &#x0A9D;                        jhagujarati     
ઞ             ઞ                             &#2718;         &#x0A9E;                        nyagujarati     
ટ             ટ                             &#2719;         &#x0A9F;                        ttagujarati     
ઠ             ઠ                             &#2720;         &#x0AA0;                        tthagujarati    
